data,sequence length,k,total k-mers,unique k-mers,positive queries,negative queries,number of buckets,insert time,number of failed inserts,lookup time,number of false negatives,false positive rate,remove time,number of failed removes,seed,memory consumption
artificial_len5000000,5000000,10,4999991,1039671,10000,8905,273597,0.150697,0,0.006422,0,0.000112,0.149035,0,42,4194304
artificial_len5000000,5000000,20,4999981,4999967,10000,10000,1315780,1.386992,0,0.010790,0,0.000000,1.353986,0,42,16777216
artificial_len5000000,5000000,50,4999951,4999951,10000,10000,1315776,1.632876,0,0.011513,0,0.000100,1.578375,0,42,16777216
artificial_len5000000,5000000,100,4999901,4999901,10000,10000,1315763,2.018265,0,0.013568,0,0.000200,1.993577,0,42,16777216
artificial_len5000000,5000000,200,4999801,4999801,10000,10000,1315737,2.873372,0,0.016622,0,0.000100,2.829842,0,42,16777216
artificial_len10000000,10000000,10,9999991,1048488,10000,88,275917,0.153210,0,0.003318,0,0.000000,0.159916,0,42,4194304
artificial_len10000000,10000000,20,9999981,9999928,10000,10000,2631560,2.977593,0,0.013796,0,0.000100,2.878184,0,42,33554432
artificial_len10000000,10000000,50,9999951,9999951,10000,10000,2631566,3.384734,0,0.011823,0,0.000200,3.306516,0,42,33554432
artificial_len10000000,10000000,100,9999901,9999901,10000,10000,2631552,4.204176,0,0.013327,0,0.000000,4.104079,0,42,33554432
artificial_len10000000,10000000,200,9999801,9999801,10000,10000,2631526,5.811355,0,0.016602,0,0.000000,6.045324,0,42,33554432
